Tracking Number,Sent,Origin city (original),Origin city (used),Origin country,Origin Lat,Origin Long,Received,Destination city (original),Destination (used),Destination country,Destination Lat,Destination Long
655674661043,29/04/2016,SOMMELSDIJK,AMSTERDAM,NL,52.37403,4.88969,03/05/2016,LOUGHTON,LOUGHTON,GB,52.03037,-0.78642
802310401994,23/05/2016,RIO DE JANEIRO,RIO DE JANEIRO,BR,-22.90278,-43.2075,27/05/2016,LOUGHTON,LOUGHTON,GB,52.03037,-0.78642
783070623157,16/05/2016,TEOLO,ROME,IT,41.89193,12.51133,17/05/2016,LOUGHTON,LOUGHTON,GB,52.03037,-0.78642
807395002762,26/05/2016,SOMMELSDIJK,AMSTERDAM,NL,52.37403,4.88969,27/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395002979,04/05/2016,LE HAURE,PARIS,FR,48.85341,2.3488,05/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395002980,09/05/2016,LEMAURE,PARIS,FR,48.85341,2.3488,10/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395002990,17/05/2016,LE HAVRE,LE HAVRE,FR,49.4938,0.10767,18/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395003004,19/05/2016,LE HAURE,PARIS,FR,48.85341,2.3488,20/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395008234,03/05/2016,ISTANBUL,ISTANBUL,TR,41.01384,28.94966,04/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395008245,13/05/2016,ISTANBUL,ISTANBUL,TR,41.01384,28.94966,16/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395008256,20/05/2016,ISTANBUL,ISTANBUL,TR,41.01384,28.94966,24/05/2016,LOGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395009506,02/05/2016,CARACAS OTTO. CAPITAL,CARACAS,VE,10.48801,-66.87919,05/05/2016,LOUGHTON,LOUGHTON,GB,52.03037,-0.78642
807395009517,03/05/2016,CARACAS DTTO CAPITAL,CARACAS,VE,10.48801,-66.87919,09/05/2016,LOUGHTON,LOUGHTON,GB,52.03037,-0.78642
807395013612,24/05/2016,CADIZ,CADIZ,ES,36.52978,-6.29465,25/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
807395013656,18/05/2016,CADIZ,CADIZ,ES,36.52978,-6.29465,19/05/2016,LOUGHTON ESSEX,LONDON,GB,51.50853,-0.12574
